chainId,address,balance,balanceValueUsd
1088,0xdd7c49D1bA862b1285710A30E20C2438b13AE532,3000000000000000000000000,121230000
1088,0xF977814e90dA44bFA03b6295A0616a897441aceC,7.094176883917166E+23,28667568.787909267806
1088,0xeA0f824CbA2A003d599186DA41A8842E2C4Bd964,7.04928E+23,28486140.48
1088,0x7314Ef2CA509490f65F52CC8FC9E0675C66390b8,2.6960461348764744E+23,10894722.4310358330504
1088,0xD3545B9E29cefd2273d2C6f64b4Ee8ebBaE5Af11,249825000000000000000000,10095428.25
1088,0xC882b111A75C0c657fC507C04FbFcD2cC984F071,1.849733677828705E+23,7474773.792105796905
1088,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,1.5821279012682545E+23,6393378.8490250164345
1088,0xD6216fC19DB775Df9774a6E33526131dA7D19a2c,1.1352969726472283E+23,4587735.0664674495603
1088,0x75cb093E4D61d2A2e65D8e0BBb01DE8d89b53481,1.1011217891283021E+23,4449633.1498674687861
1088,0xafCe62f73bD5a1E7a2Ee0C90c425252aD4865b27,8.994110804940296E+22,3634520.1762763736136
1088,0x9Fe259A8a8212e3D09bcf8c0aB87E1D1323b4456,8.855462944153961E+22,3578492.5757326156401
1088,0x31D66E8d7820b223250AD797Df572df8F5aC900D,8.678472621057367E+22,3506970.7861692820047
1088,0x95B4F64c2a96F770C1b4216e18ED692C01506437,6.517765126006246E+22,2633828.8874191240086
1088,0xECf01D16C9E86F61417127692f190239F20b5065,4.899799795305294E+22,1980009.0972828693054
1088,0x0152e5f09340E14b264F1DCF5135b1120b2413ce,4.600099983911347E+22,1858900.4034985753227
1088,0x7b5B29c949560593977d8AA8c9a5Bc8aB3Eb2709,4.2645187821137606E+22,1723292.03985217065846
1088,0x43A61729CBA83607Ff0EE6C10Dae823740cc7865,40748998666500000000000,1646667.036113265
1088,0x0Cd1C2807FA08AebE49A2E5101BC47b8DdB34334,3.32E+22,1341612
1088,0xc1e9b0B0106d4c310285d2809FF090195FD3A109,3.1339092051008183E+22,1266412.70978124067503
1088,0xfcA9913e48d5230671B3353f7C29B03275480359,2.842075E+22,1148482.5075
1088,0x8feF1911D089429fCfb6e5Ab4d924692C2c115E8,28299295154530000000000,1143574.5171945573
1088,0xc5779AB95fc7C8B04c96f3431736F2455b0E6A1A,26262405942214561414495,1061263.82412489042675974295
1088,0x5bdf85216ec1e38D6458C870992A69e38e03F7Ef,2.368597343112818E+22,957150.1863518897538
1088,0x0D0707963952f2fBA59dD06f2b425ace40b492Fe,2.363974993172522E+22,955282.2947410161402
1088,0xa8c008b416b5ddE12225829b3cD32A07Df49C694,21464920749391093989834,867397.44748289410812919194
1088,0x17A30350771d02409046A683b18Fe1C13cCFC4A8,1.973242980201785E+22,797387.4882995413185
1088,0xCae14df7aC9FB2068dcb220A581E001c945A38fB,18425340000000000000000,744567.9894
1088,0xcF629cf28a1EEaA87bB7a515Afdba80a8bf85fc0,17282637044000000000000,698391.36294804
1088,0x9951A4f8dDc83E733a83Df0566b3048291541429,1.7088997924429732E+22,690566.40612620547012
1088,0xcD111815A4Acb5355E137B2aae6Ec3E043D57ce9,1.7070436235572041E+22,689816.32827946617681
1088,0x7ab741d9EaF04E73E4d83A71641CB692F40412a9,1.6260303229713276E+22,657078.85351271348316
1088,0xb8e6D31e7B212b2b7250EE9c26C56cEBBFBe6B23,1.4787878131325112E+22,597578.15528684777592
1088,0x3938368d99300C7CBf9737F1de7d272C809489Fe,1.418055E+22,573036.0255
1088,0x7077f35063f17EE1B84678334d261Ccf47980271,13615461828430000000000,550200.8124868563
1088,0x37112a7D9d70E156F17326b1D9E22C12d73311c6,1.3440999976777445E+22,543150.80906157655245
1088,0x4200000000000000000000000000000000000011,1.2062465788644975E+22,487444.24251914343975
1088,0x09140DB03Cdd875219312C6299Ab257B1c7e5FB3,1.1907607971004647E+22,481186.43810829778527
1088,0x2B92205b94B298Caa607a82B086786e24dAF52BF,11702551244654483711087,472900.09579648768676502567
1088,0x7f5eC43a46dF54471DAe95d3C05BEBe7301b75Ff,1.1455082119598755E+22,462899.86845298568955
1088,0xE769D7cBAB24D88474d95a4b4f5581627990b812,1.0929155192329484E+22,441647.16132203444844
1088,0x59051B5F5172b69E66869048Dc69D35dB0B3610d,1.06102583320953E+22,428760.539199971073
1088,0x3045D7B9FA41D62e03673163706f82DCcFeaBd00,1.0499999387295685E+22,424304.97524061863085
1088,0xE4999b08BcB9004a582C36BdD2973163549F74ED,1E+22,404100
1088,0x2173d3CB7a45973B890de2EE7955081065755a1C,9801000000000000000000,396058.41
1088,0xD85F87DCf8Dd759c256D0adE3E9200C07714c996,9000060888745131235408,363692.46051419075322283728
1088,0x13fa165e0F25ba2d658ce682faaA7BAA84f5c0C1,8.973638705123857E+21,362624.74007405506137
1088,0x69aBDfe036Ce7B6DE7ccd69449A09523b26E0500,8.81139276903E+21,356068.3817965023
1088,0x6E1c8B26453a3e0003Cd0D4E74834e3198C5977c,8.63065158800877E+21,348764.6306714343957
1088,0xF42F33C838eC4c5065abDE31175D4885ED02DF18,8.588047904063055E+21,347043.01580318805255
1088,0x6412Af68A063dBbacF965c0A430A2C5768b317cA,8.446770958E+21,341334.01441278
