Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,ChainId,Chain,Value(ETH)
0x560e68e7c594a86b7dadac4f53cc7a8c932aa9742d97a663f93892e6b2972751,19342115,1735661231,2024-12-31T16:07:11.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xad52213D6179d686496462f6F5D91DB0ade63E79,0xad52213D6179d686496462f6F5D91DB0ade63E79,0,308690000000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x92703d6c51d4ebbdfd7bcd4221091d7e71b7a49690a4479f0d36d3e7740d7ff5,19341940,1735659612,2024-12-31T15:40:12.000Z,0xb0a19bC1ee104e715c4cA6d906de072A2602B1f3,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,3875903700000000000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0xbf1f375cc85c6dae0bece475ebc5025694797d4166a3b8e1c736ba88961b5a3d,19341912,1735659350,2024-12-31T15:35:50.000Z,0x0f9F949a30b97C42aCe87Aae6F24EE2607003e37,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,74588676557523520000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x58592755ab3f91fa0d52abf8a138dabf8df7a37c14fd340b0f181fdca711bba3,19341704,1735657510,2024-12-31T15:05:10.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0x8f546C3400dB706c282175b163eF466bD8B19cFb,0x8f546C3400dB706c282175b163eF466bD8B19cFb,0,193419954580000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x17738c2ee1901156dea7c1d8bd39bac5a50867c6ae03705e4082d4e8b64fa5ef,19341524,1735655863,2024-12-31T14:37:43.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0x969C67636Fd2157799f16897Af18899c98543f4E,0x969C67636Fd2157799f16897Af18899c98543f4E,0,2998000000000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x7f3b16b87182b79f749ba97e7c9ddba4a15c806838d25794b262d772ebabf9c1,19341446,1735655153,2024-12-31T14:25:53.000Z,0x647B7Cd1ee7108E34fFf0a2019c355c2d95b8939,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,2289600000000000000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x94ae0c08427eeb6ab7d3f44251fb1715ec5b67231d24f70f7ef4cfb30be5c31e,19341415,1735654853,2024-12-31T14:20:53.000Z,0x7D36582ABa39295E8f97295729CED95EB0b58531,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,119999549449150000000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x8e64a1ef5ceac68ada490eb12ab51032bef342434fd479ca31369633ee17b742,19341411,1735654815,2024-12-31T14:20:15.000Z,0x543B08d2530F03193Ea331178a39508Da1825e39,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,1259313685150023000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x29650a1255459a80b6058e73089baa2dfdfb6ee31f817526a6517527f1a1d677,19341352,1735654251,2024-12-31T14:10:51.000Z,0x7D36582ABa39295E8f97295729CED95EB0b58531,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,119999215017054470000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x253729c892d6639859dd03cb5cfa7d6bf6ae42a1d8436e1d720cd31d1912f229,19341105,1735651860,2024-12-31T13:31:00.000Z,0x7D36582ABa39295E8f97295729CED95EB0b58531,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,119997879616503220000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x361cf56a64f5708c27dd0741354e74d314ef9dc5fbdd24c3dc9e0e8cb785b9af,19340972,1735650606,2024-12-31T13:10:06.000Z,0x62B014B27a1f6054Ea1800Fc40EBcFF6912d6D3A,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,319618876557523500000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x11ca575c53b27a7e531e62f6b14cfd6a3ab5625730d32717bcf130f0232d5f2a,19340852,1735649456,2024-12-31T12:50:56.000Z,0xcdc378E0ef856F071619F085b0d3781d2aFD99A7,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,1359976557523516000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x484581c9d9d1d10b02734bddfc48535498b8ef7f6c60d8ce4c71e6764078b0a3,19340669,1735647761,2024-12-31T12:22:41.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0x6AB7D6365Ab2880C81b769FC3910Bb06901cDb4B,0x6AB7D6365Ab2880C81b769FC3910Bb06901cDb4B,0,213785000000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x1ddb19005195a97f153e1fd42ba9de81e137e9fd2e466ef70b4232d6f7deb745,19340295,1735644360,2024-12-31T11:26:00.000Z,0xb1C12A2Ed13f304a6eC1a73C0cae7786DbcFCB57,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,999976557523516000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0xae23c82f412d068a925bffb09b4d507742d0ff978ffa4618582647cc22a32de5,19340079,1735642207,2024-12-31T10:50:07.000Z,0x3B276188fFEEA86C60e432434CBDA47BA1030A85,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,2807588282028409000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x92b998428a2d5ab770c531109825a68bb25eb79a3f34f8ae08339f879a9c1153,19339645,1735638014,2024-12-31T09:40:14.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xdAABEf63B45d66642950Caa49B966fC14c38f5A5,0xdAABEf63B45d66642950Caa49B966fC14c38f5A5,0,20081067200000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x676a862c2d8b3cf33b3f492c5ec7bcb6d1ec365772a385e194704ecb27051023,19339353,1735635183,2024-12-31T08:53:03.000Z,0x8D335941f6F731b3A6169DA21A4f9341D8D70E6e,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,1099976025503216000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
