transaction_hash,block_number,from_address,to_address,value,token_name,token_symbol,timestamp,gas,gas_price,nonce,input_data
0xd65c3c105ed177363f0125d511dcc4fea65a8504d5c8e16b292d2b33da08c016,21410396,0x5ca490449abca912695fbe271ae29a0ce9a7e47c,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,299961327000000000000,Metis Token,Metis,2024-12-15 20:47:11,100000,8838985910,0,deprecated
0x2078e607dc1322033c90bfac6e7bb503bfaf6c8cbe0bfa29545b9820fd803e47,21416175,0xaf9cd316984d8c14daf1450a8ec574ee84ef3e69,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,9100000000000000000,Metis Token,Metis,2024-12-16 16:08:11,100000,35532237886,0,deprecated
0xbf8286c1c3f4ede2f4aea036d22577e4bfecedeee21bbc9d9e76d23a34fac667,21416769,0x059338aff1c1fed6a0527b137392adde10d9fa5e,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,134484007000000000000,Metis Token,Metis,2024-12-16 18:07:11,100000,23608867937,2,deprecated
0xbd5e7fe89574aa233ed62fddd08ff3d2dc8fa0baeb83ec917a3efd39ce69c220,21416769,0xc261a42565ef172c8e23e650b2f37747067f0bb5,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,84943228030000000000,Metis Token,Metis,2024-12-16 18:07:11,100000,23608867937,7,deprecated
0x93ad22a9060ce6759eaacda9da99152560b3c3f47b5570e170f121e8dc84baa3,21417229,0x00b5ef5641c7e0ecb328a6f329f52ea5d88f182c,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,99001167800000000000,Metis Token,Metis,2024-12-16 19:39:35,100000,29739118751,16,deprecated
0x4d4690d4bf47ba8e82d1736b4dde3207e84eae31b890548b755e9eb06ddcc319,21429517,0x2e2767bad22b5171c8d483a45000eae2763e4ea3,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,120520000000000000000,Metis Token,Metis,2024-12-18 12:48:35,100000,17211946858,7,deprecated
0xccfa4e3c7fdaa454b553c1c9630dc5f84b50721cc5852712093846aedd34fde1,21438544,0x900129461b8956690c6d2554a06a3ed9b41542ab,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,349912839660000000000,Metis Token,Metis,2024-12-19 19:05:59,100000,47221650072,1,deprecated
0x86372d7acdf07d6c6af1182c718113e4e8705da099c4324a1c35aaafccd254f4,21476848,0x0d0b0f0e77ebf53bf3285a6c7eae459755752f8f,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,430994651420000000000,Metis Token,Metis,2024-12-25 03:37:47,100000,3296950037,3,deprecated
0x68177f683b6e6205c42204598b583228285ab912aa952b6026aafa2bc5294378,21501705,0xa21c0c38b15d50b99b1fc627e5f7fb45b08bbc9c,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,193776603890000000000,Metis Token,Metis,2024-12-28 14:57:35,100000,5029160973,1429,deprecated
0x9441745bebbfcf023e28803bec00683adadf700dde6434cc59d30386f9a4ee7e,21503345,0xa53e9d2659a398f28d23d3fa91ca3f421734cdb3,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,33861612220000000000,Metis Token,Metis,2024-12-28 20:27:35,100000,4084254760,16,deprecated
0x884e910d640cf16f200f5025a5ff849756c4e620e628660847a97e194e41b0a3,21503420,0x271af837acc574da896d125b6ed26372f4ca7a3e,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,149693013770000000000,Metis Token,Metis,2024-12-28 20:42:35,100000,4265744488,29,deprecated
0x2f6446340054fe6f82d11ec5ec408af1c347f27e7bb5d3e760fc184c6ca0a1d4,21510888,0x05da1949364bc33fea5640eef728fbdfd083fcce,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,26341826530000000000,Metis Token,Metis,2024-12-29 21:42:47,100000,5442786317,15,deprecated
