transaction_hash,block_number,from_address,to_address,value,token_name,token_symbol,timestamp,gas,gas_price,nonce,input_data
0xe15bb6bf7b02bf4f5ee4674456027cc1c2173904c9e2bf73f26280f2027cfd46,20656646,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,20141593415876866048,Metis Token,Metis,2024-09-01 15:34:23,166319,1556217571,23096,deprecated
0x745be167efcd4ae05aa34b6a735395e810fb52bdce5ca63915b4354b5c1e47b5,20657153,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,0x1f2f10d1c40777ae1da742455c65828ff36df387,86621883103329740473,Metis Token,Metis,2024-09-01 17:15:59,707595,713008953,3380918,deprecated
0x745be167efcd4ae05aa34b6a735395e810fb52bdce5ca63915b4354b5c1e47b5,20657153,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,86621875934179308821,Metis Token,Metis,2024-09-01 17:15:59,707595,713008953,3380918,deprecated
0x38768e88a4fab21d03cb737745e99167f0aba6489a8fca137487f8dc64106e5b,20657153,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,95833551255953586749,Metis Token,Metis,2024-09-01 17:15:59,509711,1200000000,157,deprecated
0x1638e0babb62f332be3f4a944836e8b048e8629e989ecfbfb1972893a774c641,20657153,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,73574068772312283951,Metis Token,Metis,2024-09-01 17:15:59,4999989,713008953,20081,deprecated
0xc656a7125a9fba84c9605beedeaa4cfb5031e501f36deeeb631908a7af9773c6,20657172,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,24523014240802988972,Metis Token,Metis,2024-09-01 17:19:47,166270,1338374855,20087,deprecated
0x2b93f5578c8755d2e88cc891a79ea9d3e386ebe4d85bc146404eca06d1eed10d,20657249,0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,30561196487300895854,Metis Token,Metis,2024-09-01 17:35:11,166283,1895614123,19788,deprecated
0x930a83ac6ea29b062520d7b6c5088f73284fe1db833396af565575ddd83a63cc,20657310,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,15000000000000000000,Metis Token,Metis,2024-09-01 17:47:23,237649,1862795242,2437,deprecated
0x5268b8865d380d0a97af177ce4e09ec7b898698e16ee3c9b8f11f551b41f79e8,20657326,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,2677031811896196356,Metis Token,Metis,2024-09-01 17:50:47,441749,1141040764,20,deprecated
0x0fa9494d224ad20d3b3349fa40a9224257361142ced43eaaee5d0b46ef7d9e8e,20657929,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,3000000000000000000,Metis Token,Metis,2024-09-01 19:52:23,339200,728969326,18,deprecated
